#haha
#id 	file_path 		 row_map     column_map   file_texture   row_tiled    columtile   
[MAP]
0	textures\map_thanh.txt	41	176	textures\Final1.png	30 	29


# id	file_path	transparent_color_r	g	b
[TEXTURES]
10	textures\misc.png	163	73	164
20	textures\brick_transparent.png	255	0	255
30	textures\mario(2).png	255	255	255
40	textures\fire_ball.png	0	0	0
50	textures\enemy.png	63	72	204
60	textures\hub.png	163	73	164
70	textures\effect_1.png	0	0	0
80	textures\enemy1.png	68	145	190
90	textures\transform_mario.png	255	255	255
100	textures\pipe1.png	255	255	255
101	textures\pipe2.png	255	255	255
102	textures\pipe3.png	255	255	255
103	textures\debris.png	163	73	164
104	textures\roulette.png	0	183	239
105	textures\MapSelection.png	255	255	255
106	textures\white_box.png	0	183	239
107	textures\MARIOPRO.png	255	255	255
108	textures\ENEMY2.png	255	255	255
109	textures\CONPHUNLUA.png	255	255	255
110	textures\power_state.png	255	255	255

# id	left	top	width	height	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	197	48	14	27	30
# walk
10002	214	48	16	27	30
10003	233	49	16	26	30
# jump
10004	271	49	16	26	30
# crouch - Núp
10005	379	57	14	18	30
# run
10006	290	48	19	27	30
10007	312	48	19	27	30
10008	335	49	19	26	30
#skid
10009	1419	47	16	28	107
#fly
10010	357	49	19	26	30
#hold
10011	434	48	14	27	30
10012	451	48	15	27	30
10013	469	49	16	26	30
10014	415	48	16	27	30
#kick
10015	488	48	21	27	30
#go down
10016	415	48	16	27	30

###################################################


# SMALL MARIO
# idle small right
10021	254	9	12	15	30
# walk
10022	254	9	12	15	30
10023	269	8	15	16	30
# jump
10024	304	8	16	16	30
# run
10025	323	8	16	16	30
10026	341	8	16	16	30
#skid 
10027	1386	8	14	16	107
#fly
10028	360	8	16	16	30
#hold
10029	435	8	14	16	30
10030	452	8	15	16	30
10031	397	8	16	16	30
#kick
10032	470	8	16	16	30
#go down
10033	397	8	16	16	30

###################################################


# RACCOON MARIO
# idle right
10054	80	142	21	28	30
# walk
10055	104	142	22	28	30
10056	129	143	23	27	30
# jump
10057	257	143	23	27	30
# crouch
10058	522	152	22	18	30
# run
10059	360	142	24	28	30
10060	387	142	24	28	30
10061	414	143	24	27	30
# spin
10062	174	142	16	28	30
10063	193	142	23	28	30
10064	219	142	16	28	30
10077	78	107	23	28	30
# skid
10065	1516	140	16	30	107

# falling
10066	283	143	23	27	30
10067	309	143	23	27	30
10068	335	142	22	28	30
# FLY
10069	441	143	24	27	30
10070	468	143	24	27	30
10071	495	142	24	28	30
# hold
10072	566	142	21	28	30
10073	590	142	22	28	30
10074	615	143	23	27	30

#kick
10075	641	142	22	28	30
#go down
10076	174	142	16	28	30

###################################################


# FIRE MARIO
# IDLE
10090	206	109	14	27	30
# WALK
10091	223	109	16	27	30
10092	242	110	16	26	30
# SKID
10093	1410	107	16	29	107
# RUN
10096	333	109	19	27	30
10097	355	109	19	27	30
10098	378	110	19	26	30
# JUMP
10099	314	110	16	26	30
# HIGH JUMP
10100	400	110	19	26	30
# CROUCH
10101	422	118	14	18	30
# THROW
10102	280	109	14	27	30
10103	297	109	14	27	30
#fly
10104	400	110	19	26	30
#fly and throw
10105	555	109	19	27	30
10106	621	109	18	27	30
#hold
10107	477	109	14	27	30
10108	494	109	15	27	30
10109	512	110	16	26	30
10110	458	109	16	27	30
#kick
10111	531	109	21	27	30
#go down 
10112	458	109	16	27	30


# die 
10200	416	8	16	16	30


###################################################


#QUESTION BRICK	
40001	157	188	16	16	10
40002	176	188	16	16	10
40003	196	188	16	16	10
40004	215	188	16	16	10

#TRANSPARENT BRICK
40005	0	0	16	16	20

#FIRE BALL
40006	0	1	8	8	40
40007	11	0	8	9	40
40008	22	1	8	8	40
40009	33	0	8	9	40

###################################################


#GOOMBA
# walking
40010	9	11	16	16	50	
40011	32	11	16	16	50

#die
40012	54	18	16	9	50

# RED KOOPA
# walking
40013	28	67	16	26	50
40014	47	66	16	27	50

# die
40015	29	97	16	16	50
40016	50	96	16	16	50
40017	71	96	16	16	50

#walking swings
40018	105	93	16	27	50
40019	126	94	16	26	50
40020	147	93	16	27	50

# GREEN KOOPA
# walking left
40021	31	119	16	26	50
40022	50	118	16	27	50

# die
40023	32	149	16	16	50
40024	53	148	16	16	50
40025	74	148	16	16	50

# walking swings left
40026	105	129	16	27	50
40027	126	130	16	26	50
40028	147	129	16	27	50

# walking swings right
50000	262	249	16	27	108
50001 	279	249	16	27	108
50002	296	250	16	26	108
50003	313	248	16	28	108

# walking right
50005	296	191	16	27	108
50006	313	191	16	27	108
# mai rua rung rinh
50007	32	149	16	16	109
50008	31	149	16	16	109
